kalkulaatori konfigureerimise sisendid;;;;;;;;kasutaja valikud;;;Tulemuste kuvamine;
Toode;Krediidisumma = kauba või teenuse täismaksumus - esmane sissemakse;Intress;Lep. Tasu;Igakuine haldustasu;Lubatud perioodi vahemik;Vaikeväärtus krediidisummale;Vaikeväärtus perioodile (kuudes);Kauba või teenuse täismaksumus;Esmane sissemakse;Periood;Projekti maksumus pärast esmast sissemakset;Kuumakse
PV;300-25000;7,90%;50 €;1 €;6 -120 kuud;5000;60;kliendi poolt sisestatav summa, mida saab muuta käsitsi või slaideri abil;vabalt valitav suurus, mis vähendab krediidisummat eurodes, ei saa olla suurem, kui arvutusena tekkiv minimaalne krediidisumma;Valitav rippmenüüst või slaideri abil, samm 6 kuud;Kuvatakse kliendile kalkulaatori tulemuste juures (Kauba või teenuse maksumus - esmane sissemakse);Kuvatakse kliendile arvutuste tulemusel kujul: perood x kuumakse (näiteks: 48 x 56,00 € kuus) - juhul, kui on kehtestatud lepingutasu või igakuine haldustasu, siis sisaldab ka neid
Soojuspumbad;300-1999;7,90%;30 €;1 €;6-72 kuud;1000;48;;;;;
;2000-5999;6,50%;20 €;1 €;6-72 kuud;;;;;;;
;6000-25000;5,90%;20 €;1 €;6 -120 kuud;;;;;;;
Elektriauotode laadijad;300-1999;5,90%;50 €;2 €;6-72 kuud;1000;48;;;;;
;2000-5999;4,50%;40 €;2 €;6-72 kuud;;;;;;;
;6000-25000;3,90%;30 €;2 €;6 -120 kuud;;;;;;;
Võrguvaba elektrijaam Off-grid;300-1999;7,90%;30 €;0 €;6-72 kuud;5000;60;;;;;
;2000-5999;6,50%;20 €;0 €;6-72 kuud;;;;;;;
;6000-25000;5,90%;20 €;0 €;6 -120 kuud;;;;;;;
Elektri- ja gaasitööd;300-999;9,90%;30 €;1 €;6-72 kuud;1000;48;;;;;
;1000-1999;8,90%;20 €;1 €;6-72 kuud;;;;;;;
;2000-5999;7,50%;20 €;0 €;6-72 kuud;;;;;;;
;6000-25000;6,90%;20 €;0 €;6 -120 kuud;;;;;;;
;Need väärtused peavad olema konfigureeritavad;;;;;;;;;;;
